metric,observations,termRange,sourceKeys,rawMin,p05,median,p95,rawMax
us_emergencyStay_votesRequired,1,contemporary rules,supreme-court-simulator-institutional-design-and-empirical-anchors,5.000,5.000,5.000,5.000,5.000
us_emergency_brief_reasoning_common,1,2024-2025 terms,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
us_emergency_limited_briefing,1,2024-2025 terms,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
us_emergency_oral_argument_typically_absent,1,2024-2025 terms,emergency-docket-calibration,1.000,1.000,1.000,1.000,1.000
us_expertAdvocate_shareOfGrantedNonSGCases,1,OT1980 to OT2008 comparison,supreme-court-simulator-litigation-pipeline-incentives,0.058,0.058,0.058,0.058,0.058
us_merits_dispositions,1,2023 Term,lower-court-intake-calibration,64.000,64.000,64.000,64.000,64.000
us_merits_petitionerSuccess_withExperienceAdvantage,1,1977-1982,supreme-court-simulator-litigation-pipeline-incentives,0.730,0.730,0.730,0.730,0.730
us_petitionsReviewedPerWeek,1,contemporary court practice,supreme-court-simulator-institutional-design-and-empirical-anchors,130.000,130.000,130.000,130.000,130.000
us_scotus_plenaryReviewRate_allDocketed,2,OT2023-OT2024,supreme-court-simulator-litigation-pipeline-incentives,0.016,0.016,0.017,0.018,0.018
us_sg_experience_confoundedAdvantage,1,1977-1982,supreme-court-simulator-litigation-pipeline-incentives,0.310,0.310,0.310,0.310,0.310
us_shadow_docket_dataset_terms_covered,1,1993-2024,emergency-docket-calibration,32.000,32.000,32.000,32.000,32.000
us_stateCourt_underrepresentation_allPetitions,1,2002-2014 Terms,supreme-court-simulator-litigation-pipeline-incentives,0.334,0.334,0.334,0.334,0.334
us_stateCourt_underrepresentation_paidPetitions,1,2002-2014 Terms,supreme-court-simulator-litigation-pipeline-incentives,0.413,0.413,0.413,0.413,0.413
us_stateOSG_respondentState_successShift,1,1989-2007 Terms,supreme-court-simulator-litigation-pipeline-incentives,0.380,0.380,0.380,0.380,0.380
us_stateOSG_winProbability_bonus,1,1989-2007 Terms,supreme-court-simulator-litigation-pipeline-incentives,0.240,0.240,0.240,0.240,0.240
us_total_filings,1,2023 Term,lower-court-intake-calibration,4223.000,4223.000,4223.000,4223.000,4223.000
