caseKey,caseName,caseDescription,scenarioKey,scenario,totalBills,potentialBillsPerRun,enactedBills,enactedPerRun,floorPerRun,productivity,floor,avgSupport,welfare,cooperation,compromise,gridlock,accessDenied,committeeRejected,challengeRate,lowSupport,popularFail,policyShift,proposerGain,lobbyCapture,publicAlignment,antiLobbyingSuccess,privateGainRatio,lobbySpendPerBill,defensiveLobbyingShare,captureReturnOnSpend,publicPreferenceDistortion,amendmentRate,amendmentMovement,vetoes,overriddenVetoes
high-party-loyalty,High Party Loyalty,Party pressure is strong.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,3219,21.460,60.000,0.358,1.000,0.585,0.610,0.209,0.213,0.642,0.000,0.000,0.000,0.000,0.352,0.151,0.377,0.231,0.823,0.746,0.459,0.000,0.000,0.000,0.177,0.899,0.171,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2509,16.727,60.000,0.279,1.000,0.610,0.646,0.170,0.238,0.721,0.000,0.000,0.000,0.000,0.393,0.107,0.308,0.190,0.835,0.758,0.344,0.000,0.000,0.000,0.165,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,supermajority-60,Unicameral 60 percent passage,9000,60.000,800,5.333,60.000,0.089,1.000,0.664,0.713,0.059,0.372,0.911,0.000,0.000,0.000,0.000,0.754,0.018,0.145,0.197,0.824,0.300,0.349,0.000,0.000,0.000,0.176,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass,Default pass unless 2/3 block,9000,60.000,7543,50.287,60.000,0.838,1.000,0.533,0.498,0.447,0.109,0.162,0.000,0.000,0.000,0.449,0.029,0.659,0.655,0.255,0.800,0.994,0.590,0.000,0.000,0.000,0.200,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8062,53.747,60.000,0.896,1.000,0.520,0.501,0.466,0.142,0.104,0.000,0.000,0.000,0.455,0.011,0.480,0.493,0.255,0.815,0.999,0.590,0.000,0.000,0.000,0.185,0.905,0.175,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7537,50.247,60.000,0.837,1.000,0.532,0.498,0.445,0.108,0.163,0.000,0.000,0.000,0.450,0.028,0.659,0.655,0.257,0.800,0.993,0.591,0.102,0.654,2.098,0.200,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8093,53.953,60.000,0.899,1.000,0.519,0.501,0.466,0.142,0.101,0.000,0.000,0.000,0.454,0.012,0.480,0.490,0.257,0.815,0.997,0.594,0.102,0.654,2.256,0.185,0.906,0.175,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7526,50.173,60.000,0.836,1.000,0.532,0.500,0.445,0.109,0.164,0.000,0.000,0.000,0.453,0.024,0.659,0.657,0.197,0.794,0.999,0.568,0.102,0.654,1.604,0.206,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6837,45.580,57.473,0.760,0.958,0.536,0.518,0.407,0.114,0.240,0.042,0.000,0.000,0.440,0.030,0.590,0.647,0.177,0.809,0.971,0.436,0.102,0.654,1.313,0.191,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6858,45.720,57.513,0.762,0.959,0.537,0.517,0.409,0.115,0.238,0.041,0.000,0.000,0.449,0.034,0.590,0.645,0.176,0.810,0.971,0.431,0.000,0.000,0.000,0.190,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1934,12.893,12.967,0.215,0.216,0.586,0.660,0.126,0.245,0.785,0.543,0.241,0.000,0.198,0.519,0.069,0.243,0.205,0.859,0.608,0.371,0.000,0.000,0.000,0.141,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5242,34.947,60.000,0.582,1.000,0.526,0.521,0.306,0.136,0.418,0.000,0.000,0.500,0.375,0.245,0.371,0.519,0.243,0.811,0.871,0.556,0.000,0.000,0.000,0.189,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2345,15.633,15.720,0.261,0.262,0.578,0.679,0.151,0.254,0.739,0.738,0.000,0.000,0.228,0.450,0.083,0.250,0.162,0.821,0.869,0.266,0.000,0.000,0.000,0.179,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3995,26.633,55.947,0.444,0.932,0.560,0.604,0.248,0.172,0.556,0.067,0.001,0.000,0.264,0.179,0.220,0.400,0.193,0.811,0.928,0.360,0.000,0.000,0.000,0.189,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4303,28.687,60.000,0.478,1.000,0.552,0.615,0.264,0.153,0.522,0.000,0.000,0.000,0.362,0.097,0.274,0.464,0.173,0.824,0.983,0.293,0.000,0.000,0.000,0.176,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6553,43.687,51.633,0.728,0.861,0.534,0.510,0.389,0.112,0.272,0.139,0.000,0.000,0.443,0.107,0.554,0.633,0.244,0.803,0.915,0.541,0.000,0.000,0.000,0.197,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,bicameral-majority,Bicameral simple majority,9000,60.000,1519,10.127,60.000,0.169,1.000,0.623,0.676,0.105,0.288,0.831,0.000,0.000,0.000,0.000,0.595,0.049,0.223,0.200,0.828,0.494,0.361,0.000,0.000,0.000,0.172,0.000,0.000,0,0
high-party-loyalty,High Party Loyalty,Party pressure is strong.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,1010,6.733,60.000,0.112,1.000,0.639,0.695,0.072,0.315,0.888,0.000,0.000,0.000,0.000,0.711,0.030,0.201,0.202,0.823,0.344,0.360,0.000,0.000,0.000,0.177,0.000,0.000,526,7
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",simple-majority,Unicameral simple majority,9000,60.000,1996,13.307,60.000,0.222,1.000,0.580,0.649,0.129,0.230,0.778,0.000,0.000,0.000,0.000,0.517,0.086,0.315,0.214,0.809,0.593,0.406,0.000,0.000,0.000,0.191,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",simple-majority-mediation,Unicameral majority + mediation,9000,60.000,2611,17.407,60.000,0.290,1.000,0.571,0.625,0.166,0.209,0.710,0.000,0.000,0.000,0.000,0.442,0.123,0.376,0.229,0.807,0.636,0.451,0.000,0.000,0.000,0.193,0.904,0.173,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2130,14.200,60.000,0.237,1.000,0.590,0.657,0.140,0.233,0.763,0.000,0.000,0.000,0.000,0.456,0.093,0.319,0.190,0.820,0.695,0.349,0.000,0.000,0.000,0.180,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",supermajority-60,Unicameral 60 percent passage,9000,60.000,459,3.060,60.000,0.051,1.000,0.649,0.737,0.033,0.364,0.949,0.000,0.000,0.000,0.000,0.854,0.010,0.145,0.205,0.795,0.167,0.349,0.000,0.000,0.000,0.205,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass,Default pass unless 2/3 block,9000,60.000,7455,49.700,60.000,0.828,1.000,0.521,0.499,0.432,0.104,0.172,0.000,0.000,0.000,0.482,0.028,0.664,0.669,0.256,0.800,0.992,0.587,0.000,0.000,0.000,0.200,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-mediation,Default pass + mediated amendments,9000,60.000,7937,52.913,60.000,0.882,1.000,0.506,0.504,0.447,0.136,0.118,0.000,0.000,0.000,0.499,0.014,0.484,0.507,0.258,0.815,0.993,0.593,0.000,0.000,0.000,0.185,0.913,0.177,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7451,49.673,60.000,0.828,1.000,0.521,0.499,0.431,0.104,0.172,0.000,0.000,0.000,0.485,0.030,0.664,0.668,0.258,0.802,0.987,0.590,0.101,0.641,2.118,0.198,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,7923,52.820,60.000,0.880,1.000,0.506,0.504,0.445,0.136,0.120,0.000,0.000,0.000,0.500,0.011,0.484,0.507,0.260,0.816,0.990,0.598,0.101,0.641,2.266,0.184,0.913,0.177,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7386,49.240,60.000,0.821,1.000,0.519,0.501,0.426,0.104,0.179,0.000,0.000,0.000,0.486,0.027,0.660,0.670,0.197,0.795,0.994,0.569,0.101,0.641,1.602,0.205,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,6710,44.733,57.407,0.746,0.957,0.523,0.517,0.390,0.108,0.254,0.043,0.000,0.000,0.479,0.035,0.594,0.664,0.178,0.811,0.954,0.440,0.101,0.641,1.311,0.189,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,6751,45.007,57.420,0.750,0.957,0.522,0.518,0.391,0.107,0.250,0.043,0.000,0.000,0.486,0.028,0.601,0.669,0.178,0.809,0.951,0.439,0.000,0.000,0.000,0.191,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1729,11.527,11.673,0.192,0.195,0.561,0.657,0.108,0.232,0.808,0.541,0.265,0.000,0.263,0.576,0.066,0.260,0.214,0.844,0.545,0.387,0.000,0.000,0.000,0.156,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5061,33.740,60.000,0.562,1.000,0.508,0.518,0.286,0.128,0.438,0.000,0.000,0.500,0.422,0.282,0.363,0.526,0.243,0.810,0.837,0.549,0.000,0.000,0.000,0.190,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,1792,11.947,12.033,0.199,0.201,0.561,0.707,0.112,0.265,0.801,0.799,0.000,0.000,0.254,0.537,0.058,0.221,0.149,0.798,0.775,0.240,0.000,0.000,0.000,0.202,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,3811,25.407,56.013,0.423,0.934,0.544,0.607,0.230,0.164,0.577,0.066,0.001,0.000,0.298,0.199,0.215,0.410,0.196,0.803,0.890,0.366,0.000,0.000,0.000,0.197,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4180,27.867,60.000,0.464,1.000,0.538,0.618,0.250,0.147,0.536,0.000,0.000,0.000,0.398,0.101,0.268,0.467,0.174,0.815,0.959,0.293,0.000,0.000,0.000,0.185,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6344,42.293,51.260,0.705,0.854,0.523,0.510,0.369,0.109,0.295,0.146,0.000,0.000,0.471,0.125,0.552,0.650,0.246,0.802,0.910,0.548,0.000,0.000,0.000,0.198,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",bicameral-majority,Bicameral simple majority,9000,60.000,1156,7.707,60.000,0.128,1.000,0.606,0.688,0.078,0.280,0.872,0.000,0.000,0.000,0.000,0.676,0.037,0.222,0.205,0.802,0.383,0.360,0.000,0.000,0.000,0.198,0.000,0.000,0,0
low-compromise,Low Compromise Culture,"Members are less inclined toward moderate, incremental bills.",presidential-veto,Bicameral majority + presidential veto,9000,60.000,666,4.440,60.000,0.074,1.000,0.614,0.709,0.045,0.304,0.926,0.000,0.000,0.000,0.000,0.804,0.019,0.199,0.196,0.796,0.228,0.334,0.000,0.000,0.000,0.204,0.000,0.000,439,2
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",simple-majority,Unicameral simple majority,9000,60.000,2795,18.633,60.000,0.311,1.000,0.614,0.624,0.191,0.222,0.689,0.000,0.000,0.000,0.000,0.365,0.131,0.343,0.188,0.834,0.793,0.354,0.000,0.000,0.000,0.166,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",simple-majority-mediation,Unicameral majority + mediation,9000,60.000,3944,26.293,60.000,0.438,1.000,0.598,0.591,0.262,0.198,0.562,0.000,0.000,0.000,0.000,0.263,0.204,0.423,0.207,0.832,0.876,0.407,0.000,0.000,0.000,0.168,0.911,0.175,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2848,18.987,60.000,0.316,1.000,0.628,0.628,0.199,0.222,0.684,0.000,0.000,0.000,0.000,0.338,0.139,0.359,0.180,0.845,0.833,0.327,0.000,0.000,0.000,0.155,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",supermajority-60,Unicameral 60 percent passage,9000,60.000,1125,7.500,60.000,0.125,1.000,0.681,0.709,0.085,0.342,0.875,0.000,0.000,0.000,0.000,0.656,0.030,0.185,0.152,0.845,0.498,0.264,0.000,0.000,0.000,0.155,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass,Default pass unless 2/3 block,9000,60.000,7654,51.027,60.000,0.850,1.000,0.544,0.490,0.462,0.108,0.150,0.000,0.000,0.000,0.427,0.020,0.689,0.674,0.234,0.803,0.997,0.524,0.000,0.000,0.000,0.197,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-mediation,Default pass + mediated amendments,9000,60.000,8285,55.233,60.000,0.921,1.000,0.536,0.493,0.494,0.143,0.079,0.000,0.000,0.000,0.402,0.005,0.503,0.503,0.234,0.820,0.997,0.523,0.000,0.000,0.000,0.180,0.909,0.178,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7672,51.147,60.000,0.852,1.000,0.544,0.489,0.464,0.108,0.148,0.000,0.000,0.000,0.423,0.018,0.688,0.671,0.237,0.803,0.994,0.532,0.079,0.599,2.547,0.197,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8270,55.133,60.000,0.919,1.000,0.535,0.493,0.492,0.143,0.081,0.000,0.000,0.000,0.399,0.006,0.502,0.503,0.236,0.822,0.998,0.528,0.079,0.599,2.738,0.178,0.911,0.178,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7638,50.920,60.000,0.849,1.000,0.543,0.491,0.461,0.108,0.151,0.000,0.000,0.000,0.429,0.015,0.686,0.673,0.188,0.800,0.998,0.517,0.079,0.599,2.013,0.200,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,7105,47.367,58.293,0.789,0.972,0.548,0.505,0.433,0.113,0.211,0.028,0.000,0.000,0.425,0.025,0.631,0.663,0.176,0.815,0.949,0.433,0.079,0.599,1.758,0.185,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,7141,47.607,58.300,0.793,0.972,0.548,0.505,0.434,0.112,0.207,0.028,0.000,0.000,0.434,0.021,0.636,0.666,0.176,0.814,0.949,0.433,0.000,0.000,0.000,0.186,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,2139,14.260,14.313,0.238,0.239,0.612,0.650,0.145,0.248,0.762,0.561,0.201,0.000,0.162,0.467,0.080,0.256,0.180,0.879,0.714,0.317,0.000,0.000,0.000,0.121,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5411,36.073,60.000,0.601,1.000,0.543,0.511,0.327,0.136,0.399,0.000,0.000,0.500,0.335,0.225,0.394,0.537,0.225,0.818,0.896,0.501,0.000,0.000,0.000,0.182,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2532,16.880,16.980,0.281,0.283,0.603,0.655,0.170,0.249,0.719,0.717,0.000,0.000,0.175,0.425,0.094,0.269,0.158,0.837,0.889,0.266,0.000,0.000,0.000,0.163,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,4142,27.613,56.620,0.460,0.944,0.582,0.593,0.268,0.169,0.540,0.056,0.000,0.000,0.211,0.148,0.238,0.417,0.185,0.818,0.926,0.342,0.000,0.000,0.000,0.182,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4359,29.060,60.000,0.484,1.000,0.573,0.605,0.277,0.150,0.516,0.000,0.000,0.000,0.323,0.073,0.278,0.468,0.169,0.830,0.970,0.289,0.000,0.000,0.000,0.170,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6690,44.600,52.027,0.743,0.867,0.546,0.500,0.406,0.112,0.257,0.133,0.000,0.000,0.417,0.099,0.583,0.651,0.228,0.807,0.894,0.498,0.000,0.000,0.000,0.193,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",bicameral-majority,Bicameral simple majority,9000,60.000,1901,12.673,60.000,0.211,1.000,0.641,0.662,0.135,0.263,0.789,0.000,0.000,0.000,0.000,0.504,0.072,0.277,0.172,0.840,0.671,0.308,0.000,0.000,0.000,0.160,0.000,0.000,0,0
high-compromise,High Compromise Culture,"Members are more inclined toward moderate, incremental bills.",presidential-veto,Bicameral majority + presidential veto,9000,60.000,1305,8.700,60.000,0.145,1.000,0.661,0.682,0.096,0.294,0.855,0.000,0.000,0.000,0.000,0.629,0.045,0.246,0.168,0.846,0.478,0.295,0.000,0.000,0.000,0.154,0.000,0.000,555,3
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,simple-majority,Unicameral simple majority,9000,60.000,2378,15.853,60.000,0.264,1.000,0.599,0.632,0.158,0.226,0.736,0.000,0.000,0.000,0.000,0.434,0.105,0.324,0.125,0.827,0.810,0.211,0.000,0.000,0.000,0.173,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,3260,21.733,60.000,0.362,1.000,0.586,0.602,0.212,0.200,0.638,0.000,0.000,0.000,0.000,0.343,0.163,0.404,0.136,0.822,0.842,0.238,0.000,0.000,0.000,0.178,0.904,0.171,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,simple-majority-lobby-firewall,Unicameral majority + lobby firewall,9000,60.000,2467,16.447,60.000,0.274,1.000,0.609,0.632,0.167,0.220,0.726,0.000,0.000,0.000,0.000,0.390,0.116,0.345,0.125,0.836,0.835,0.213,0.000,0.000,0.000,0.164,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,supermajority-60,Unicameral 60 percent passage,9000,60.000,816,5.440,60.000,0.091,1.000,0.666,0.717,0.060,0.364,0.909,0.000,0.000,0.000,0.000,0.738,0.019,0.148,0.098,0.829,0.433,0.166,0.000,0.000,0.000,0.171,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass,Default pass unless 2/3 block,9000,60.000,7575,50.500,60.000,0.842,1.000,0.533,0.488,0.449,0.103,0.158,0.000,0.000,0.000,0.455,0.020,0.676,0.671,0.171,0.801,0.998,0.333,0.000,0.000,0.000,0.199,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-mediation,Default pass + mediated amendments,9000,60.000,8129,54.193,60.000,0.903,1.000,0.521,0.494,0.471,0.135,0.097,0.000,0.000,0.000,0.441,0.011,0.500,0.507,0.169,0.817,0.998,0.326,0.000,0.000,0.000,0.183,0.903,0.173,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-budgeted-lobbying,Default pass + budgeted lobbying,9000,60.000,7569,50.460,60.000,0.841,1.000,0.533,0.488,0.448,0.103,0.159,0.000,0.000,0.000,0.446,0.023,0.676,0.671,0.172,0.801,0.998,0.333,0.041,0.474,3.512,0.199,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-budgeted-lobbying-mediation,Default pass + budgeted lobbying + mediation,9000,60.000,8158,54.387,60.000,0.906,1.000,0.521,0.494,0.472,0.134,0.094,0.000,0.000,0.000,0.443,0.007,0.503,0.509,0.170,0.817,0.998,0.328,0.041,0.474,3.745,0.183,0.907,0.174,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-budgeted-lobbying-transparency,Default pass + budgeted lobbying + transparency,9000,60.000,7530,50.200,60.000,0.837,1.000,0.533,0.489,0.446,0.104,0.163,0.000,0.000,0.000,0.443,0.025,0.673,0.672,0.156,0.801,0.998,0.332,0.041,0.474,3.178,0.199,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-budgeted-lobbying-bundle,Default pass + budgeted lobbying + anti-capture bundle,9000,60.000,7344,48.960,59.893,0.816,0.998,0.535,0.493,0.437,0.105,0.184,0.002,0.000,0.000,0.451,0.022,0.660,0.675,0.155,0.809,0.968,0.328,0.041,0.474,3.076,0.191,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-anti-capture-bundle,Default pass + anti-capture bundle,9000,60.000,7359,49.060,59.893,0.818,0.998,0.535,0.494,0.438,0.105,0.182,0.002,0.000,0.000,0.450,0.022,0.662,0.676,0.154,0.809,0.968,0.325,0.000,0.000,0.000,0.191,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-informed-guarded,Default pass + informed guarded committee,9000,60.000,1952,13.013,13.120,0.217,0.219,0.587,0.646,0.127,0.239,0.783,0.550,0.232,0.000,0.199,0.518,0.070,0.245,0.125,0.865,0.674,0.204,0.000,0.000,0.000,0.135,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-challenge,Default pass + challenge vouchers,9000,60.000,5213,34.753,60.000,0.579,1.000,0.529,0.508,0.306,0.132,0.421,0.000,0.000,0.500,0.377,0.246,0.376,0.529,0.164,0.812,0.908,0.319,0.000,0.000,0.000,0.188,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-cross-bloc,Default pass + cross-bloc cosponsors,9000,60.000,2206,14.707,14.747,0.245,0.246,0.586,0.658,0.144,0.252,0.755,0.754,0.000,0.000,0.199,0.483,0.077,0.245,0.117,0.830,0.883,0.189,0.000,0.000,0.000,0.170,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-adaptive-track,Default pass + adaptive tracks,9000,60.000,4223,28.153,58.100,0.469,0.968,0.560,0.582,0.263,0.158,0.531,0.032,0.000,0.000,0.273,0.147,0.243,0.414,0.140,0.809,0.938,0.244,0.000,0.000,0.000,0.191,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-sunset-trial,Default pass + sunset trial,9000,60.000,4671,31.140,60.000,0.519,1.000,0.554,0.587,0.288,0.142,0.481,0.000,0.000,0.000,0.369,0.052,0.305,0.476,0.139,0.826,0.986,0.232,0.000,0.000,0.000,0.174,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,default-pass-earned-credits,Default pass + earned proposal credits,9000,60.000,6745,44.967,53.133,0.749,0.886,0.534,0.496,0.400,0.107,0.251,0.114,0.000,0.000,0.444,0.095,0.590,0.654,0.168,0.803,0.936,0.324,0.000,0.000,0.000,0.197,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,bicameral-majority,Bicameral simple majority,9000,60.000,1565,10.433,60.000,0.174,1.000,0.624,0.666,0.108,0.272,0.826,0.000,0.000,0.000,0.000,0.573,0.054,0.240,0.114,0.826,0.656,0.196,0.000,0.000,0.000,0.174,0.000,0.000,0,0
low-lobbying,Low Lobbying Pressure,Lobby pressure is weak.,presidential-veto,Bicameral majority + presidential veto,9000,60.000,995,6.633,60.000,0.111,1.000,0.641,0.695,0.071,0.305,0.889,0.000,0.000,0.000,0.000,0.712,0.031,0.216,0.104,0.827,0.461,0.175,0.000,0.000,0.000,0.173,0.000,0.000,536,3
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,simple-majority,Unicameral simple majority,9000,60.000,2158,14.387,60.000,0.240,1.000,0.590,0.633,0.141,0.231,0.760,0.000,0.000,0.000,0.000,0.496,0.092,0.314,0.331,0.816,0.482,0.677,0.000,0.000,0.000,0.184,0.000,0.000,0,0
high-lobbying,High Lobbying Pressure,Lobby pressure is strong.,simple-majority-mediation,Unicameral majority + mediation,9000,60.000,3064,20.427,60.000,0.340,1.000,0.580,0.588,0.197,0.206,0.660,0.000,0.000,0.000,0.000,0.412,0.147,0.389,0.373,0.818,0.525,0.847,0.000,0.000,0.000,0.182,0.897,0.174,0,0
